,Composer,Composer life dates
,,
103771,"Chinelli, Giovanni Battista",1610-1677
105407,"Christenius, Johannes",1565-1626
947710,"Chávez, Carlos",1899-1978
106161,"Ciera, Ippolito",1546-1561
106184,"Cifra, Antonio",1584-1629
106954,"Clari, Giovanni Carlo Maria",1677-1754
109098,"Clemens, Jacob",1510-1555
948565,"Clementi, Aldo",1925
109822,"Clewing, Carl",1884
110073,"Clifton, John",1781-1841
110450,"Clutsam, George H.",1866-1951
111016,"Cobb, Gerard F. (Gerard Francis)",1838-1904
111071,"Cobbold, William",1560-1639
111924,"Cohen, Jules",1835
891329,"Cohen, Sol B.",1891-1988
112539,"Cole, William",1909-
112995,"Collet, Sophia Dobson",1822
113195,"Collins, Anthony",1893
114461,"Compère, Loyset",1445-1518
114660,"Concone, Giuseppe",1801-1861
949142,"Conforti, Giovanni Battista",1550-1570
115394,"Constantino, Florencio",1869
854485,"Contino, Giovanni",1513-1574
115595,"Conversi, Girolamo",1572-1575
848742,"Convery, Robert",1954
116468,"Cooke, Thomas",1782-1848
898628,"Coperario, John",1570-1626
118417,"Corder, Frederick",1852-1932
118820,"Corelli, Arcangelo",1653-1713
118950,"Corfini, Jacopo",1540-1591
119658,"Corsi, Bernardo",1570-1619
629273,"Corteccia, Francesco",1502-1571
902171,"Cortellini, Camillo",1561-1630
120093,"Costantini, Fabio",1570-1644
120327,"Cottrau, Giulio",1831
121514,"Coward, James",1824
1039769,"Cowie, Edward",1943
122444,"Cowles, Walter Ruel",1881
122691,"Cox, W. Ralph",1932
123827,"Craven, Elizabeth, Baroness Craven, Margravine of Anspach",1750-1828
124205,"Creith, Guirne",1907-1996
124725,"Crivelli, Giovanni Battista",1652
124775,"Croce, Giovanni",1557-1609
125168,"Croisez, Alexandre",1814
125306,"Crompton, Frederick Leslie",1913
950620,"Crumb, George",1929-2022
267160,"D'India, Sigismondo",1582-1629
424834,"Dal Pozzo, Vincenzo",1585-1612
95703,"Dalla Casa, Girolamo",1543-1601
858860,"Dalla Viola, Alfonso",1508-1573
132163,"Darke, Harold",1888-1976
132450,"Dart, Thurston",1921-1971
133840,"Davies, Walford",1869-1941
135221,"Davis, Katherine",1892-1980
135473,"Davy, John",1763-1824
546457,"Del Turco, Giovanni",1577-1647
137418,"Delahaye, L. L.",1844-1896
704387,"Delgadillo, Luis A. (Luis Abraham)",1887-1961
137993,"Delipari, Michele",1560-1650
138436,"Demantius, Christoph",1567-1643
622371,"Dentice, Fabrizio",1593-1581
139134,"Dentice, Scipione",1560-1635
139377,"Denza, Luigi",1846
139783,"Dering, Richard",1580-1630
141666,"Diamond, David",1915-2005
142774,"Dick, Cotsford",1846-1911
142976,"Dickinson, Clarence",1873
143137,"Dicks, Ernest A. (Ernest Alfred)",1865-1948
143464,"Diemer, Emma Lou",1923
144021,"Dilsner, Laurence",1843
144293,"Distin, Theodore, the Elder",1823
953736,"Donato, Baldassare",1530-1603
1038965,"Donceanu, Felicia",1931-
924610,"Donjon, Johannes",1893
148049,"Dorati, Antal",1906
148056,"Dorati, Nicolao",1513-1593
149022,"Dowland, John",1563-1626
149391,"Dragoni, Giovanni Andrea",1540-1598
954850,"Dumitrescu, Gheorghe",1914
152086,"Duncombe, William Duncombe Van der Horst",1736
658132,"Dunn, James Philip",1884-1936
153806,"Durrant, Frederick Thomas",1962
155807,"Dyson, George",1883-1964
156162,"East, Michael",1580-1648
850942,"Eben, Petr",1929
158096,"Edwards, Richard",1523-1566
158228,"Effinger, Cecil",1914-1990
159109,"Einstein, Alfred",1880-1952
159282,"Eitner, Robert",1832
164618,"Essenga, Salvadore",1575
165360,"Evans, D. Pughe (David Pughe)",1866-1897
900062,"Faignient, Noé",1537-1578
167702,"Fallamero, Gabriele",1584
167816,"Fane, John, Earl of Westmorland",1784-1859
957669,"Farkas, Ferenc",1905-2000
917443,"Farmer, John",1570-1591
168869,"Farnaby, Giles",1565-1640
169722,"Fauré, Gabriel",1845-1924
170727,"Faya, Aurelio della",1579
171080,"Feliciani, Andrea",1596
171086,"Felis, Stefano",1550-1603
171157,"Fellowes, Edmund Horace",1870-1951
917490,"Ferrabosco, Alfonso",1543-1588
882821,"Ferrabosco, Domenico Maria",1513-1574
171875,"Ferrari, Giovanni",1845
622343,"Ferrari, Girolamo",1600-1664
172136,"Ferretti, Giovanni",1540-1609
172377,"Festa, Costanzo",1490-1545
1027423,"Festa, Sebastiano",1495-1524
887644,"Fiesco, Giulio",1520-1586
174100,"Finney, Ross Lee",1906-1997
622549,"Fiurini, Ippolito",1542-1615
175609,"Flaccomio, Giovanni Pietro",1565-1617
900018,"Flecha, F. Matheo",1530-1604
176092,"Fletcher, Percy E. (Percy Eastman)",1879-1932
599497,"Flothuis, Marius",1914
879811,"Fogliano, Giacomo",1468-1548
959218,"Fonghetti, Paolo",1572-1630
623991,"Fontanelli, Alfonso",1557-1622
177913,"Forbes, Sebastian",1914
178228,"Ford, Thomas",1580-1648
178801,"Forsyth, Cecil",1870
179016,"Fortner, Wolfgang",1907-1987
179181,"Foster, Arnold",1898-1963
180089,"Foulds, John",1880-1939
181204,"Francesco, da Milano",1497-1543
181371,"Francis, George T.",1884
960131,"Frescobaldi, Girolamo",1583-1643
183790,"Friderici, Daniel",1584-1638
185529,"Furze, Jessie",1903
186243,Gabriel-Marie,1852-1928
960561,"Gabrieli, Andrea",1533-1585
186156,"Gabrieli, Giovanni",1554-1612
900025,"Gagliano, Marco da",1582-1643
662341,"Gaines, Samuel Richards",1869-1945
187196,"Galbraith, J. Lamont",1870
187335,"Galilei, Vincenzo",1520-1591
187661,"Galloway, Tod B.",1863
188813,"Gardner, John",1917-2011
189421,"Garzi, Pietro Francesco",1638-1721
189579,"Gastoldi, Giovanni Giacomo",1582-1609
189929,"Gatty, Nicholas Comyn",1874-1946
961349,"Gaubert, Philippe",1879-1941
192317,"Gelli, Ettore",1835-1894
882059,"Gerarde, Derick",1540-1580
193156,"Gerber, Rudolf",1899-1957
193656,"German, Edward",1862-1936
908744,"Gero, Ihan",1518-1555
193777,"Gero, Jehan",1518-1555
917816,"Gero, Jhan",1518-1555
962021,"Gesualdo, Carlo, principe di Venosa",1560-1613
900059,"Ghibel, Heliseo",1520-1581
1042056,"Ghizzolo, Giovanni",1580-1625
194779,"Giacomini, Bernardo",1827-1880
194898,"Giardini, Felice",1716-1796
903488,"Gibbons, Ellis",1573-1603
195177,"Gibbons, Orlando",1583-1625
195657,"Gibilaro, A. (Alfonso)",1888-1957
732503,"Gideon, Miriam",1906-1996
196613,"Gilbert, John",1812-1845
197196,"Gillet, Ernest",1956-1940
197553,"Gintzler, Simon",1490-1547
197933,"Giorza, Paolo",1832-1914
197982,"Giovannelli, Ruggiero",1560-1625
197992,"Da Crema, Giovanni Maria",1520-1550
198650,"Glasser, Stanley",1926-
895744,"Goehr, Alexander",1932-
1042185,"Golightly, D. F. (David Frederick)",1948-
882834,"Gonzaga, Guglielmo",1538-1587
205416,"Goodban, Charles",1812-1881
206721,"Goss, John, Sir",1800-1880
208867,"Gounod, Charles",1818-1893
210039,"Graener, Paul",1872-1944
210854,"Granados, Enrique",1867-1916
210892,"Grancini, Michel' Angelo",1605-1669
210909,"Grandi, Alessandro",1590-1630
1034086,"Greaves, Thomas",-1604
212663,"Greenberg, Noah",1919-1966
215265,"Griffith, W. (William)",1867-1929
216765,"Gualtieri, Antonio",-1649
216779,"Guami, Gioseffo",1540-1611
634297,"Guerrero, Francisco",1528-1599
218143,"Gundry, Inglis",1905-2000
219386,"Gwilt, Joseph",1784-1863
622878,"Halffter, Ernesto",1905-1989
226122,"Hall, Charles John",1821-1890
226155,"Hall, King",1845-1895
226927,"Halsey, Ernest",1876-1939
227054,"Ham, Albert",1858-1940
966197,"Hammerschmidt, Andreas",1612-1675
228014,"Hancock, Charles",1800-1877
967297,"Handl, Jacob",1550-1591
229969,"Harling, W. Franke",1887-1958
230008,"Harman, Richard Alexander",1917-
230861,"Harris, Cuthbert",1870-1932
1041244,"Harris, Victor",1869-1943
617536,"Hartmann, Arthur Martinus",1881-1956
234176,"Hassler, Hans Leo",1564-1612
234288,"Hastings, Frank Seymour",1853-1924
234480,"Hathaway, Joseph W. G.",1870-1956
967940,"Haubenstock-Ramati, Roman",1919-1994
236086,"Haussmann, Valentin",1560-1614
236410,"Hawes, Jack",1916-2004
236473,"Hawes, William",1785-1846
968858,"Haydn, Joseph",1732-1809
240736,"Heale, H. (Helene)",1855-
851693,"Hearne, John",1937-
843740,"Helmschrott, Robert M.",1939-
912946,"Helvey, Howard",1968-
244386,"Henry, J. Harold",1948-
410012,Henry VIII,1491-1547
245547,"Heremita, Giulio",1550-1600
701373,"Hernried, Robert",1883-1951
248230,"Hewlett, Thomas",1882-1956
249866,"Hilton the younger, John",1599-1657
