,Composer,Composer life dates
92124,"Caputi, Manilio",
92235,"Caracciolo, Paolo",
903862,"Carlton, Richard",approximately 1558-1638?
93434,"Carnall, Arthur",
946517,"Carter, Elliott",1908-2012
897888,"Castro, Jean de",
96905,"Casulana De Mezari, Maddalena",
946969,"Casulana, Maddalona",
97347,"Cavendish, Michael",approximately 1565-1628
97506,"Cecchino, Tomaso",approximately 1580-1644
100048,"Chamatero, Hippolito",
100296,"Chaminade, Cécile",1857-1944
100809,"Chansons nouvellement, 12e livre",
1043449,"Charpentier, Marc-Antoine",1643-1704
103283,"Cherubini, Luigi",1760-1842
103771,"Chinelli, Giovanni Battista",
105407,"Christenius, Johannes",
947710,"Chávez, Carlos",1899-1978
106161,"Ciera, Ippolito",
106184,"Cifra, Antonio",approximately 1584-1629
106951,"Clari, Giovanni Carlo Maria",
107271,"Clark, Harold",
109097,"Clemens, Jacob",
948561,"Clementi, Aldo",
109822,"Clewing, Carl",
110074,"Clifton, John",1781-1841
110450,"Clutsam, George H.",1866-1951
111016,"Cobb, Gerard F. (Gerard Francis)",1838-1904
1044407,"Cobbold, William",
111924,"Cohen, Jules",
891329,"Cohen, Sol B.",1891-1988
112539,"Cole, William",1909-
112995,"Collet, Sophia Dobson",
113195,"Collins, Anthony",
114461,"Compère, Loyset",approximately 1445-1518
114660,"Concone, Giuseppe",1801-1861
949142,"Conforti, Giovanni Battista",active 1550-70
115394,"Constantino, Florencio",
949192,"Contino, Giovanni",approximately 1513-approximately 1574
115594,"Conversi, Girolamo",
115595,"Conversi, Girolamo",active 1571-1575
848741,"Convery, Robert",
116468,"Cooke, T. (Thomas)",1782-1848
898628,"Coperario, John",approximately 1570-1626
118417,"Corder, Frederick",1852-1932
118821,"Corelli, Arcangelo",1653-1713
118950,"Corfini, Jacopo",
119259,"Corona, Gioanne",
119658,"Corsi, Bernardo",
629273,"Corteccia, Francesco",1502-1571
119682,"Cortellini, Camillo",
902171,"Cortellini, Camillo",1561-1630
120094,"Costantini, Fabio",
120327,"Cottrau, Giulio",
121514,"Coward, James",
1039769,"Cowie, Edward",
122444,"Cowles, Walter Ruel",
122691,"Cox, W. Ralph",
122913,Cramer and Co,
123827,"Craven, Elizabeth, Baroness Craven, Margravine of Anspach",
124205,"Creith, Guirne",1907-1996
124725,"Crivelli, Giovanni Battista",-1652
124809,"Croce, Giovanni",approximately 1557-1609
125168,"Croisez, Alexandre",
125306,"Crompton, Frederick Leslie",
126698,"Crumb, George",
127232,"Cupre, Jean",
909434,"D'India, Sigismondo",approximately 1580-1629
424834,"Dal Pozzo, Vincenzo",
847078,"Dalla Casa, Girolamo",
897979,"Dalla Viola, Alfonso",approximately 1508-approximately 1573
132163,"Darke, Harold",1888-1976
132450,"Dart, Thurston",1921-1971
133840,"Davies, Walford",1869-1941
135271,"Davis, Katherine",1892-1980
135473,"Davy, John",1763-1824
339865,"De floridi virtuosi d’Italia, Libro 2",
546457,"Del Turco, Giovanni",1577-1647
137418,"Delahaye, L. L.",
704387,"Delgadillo, Luis A. (Luis Abraham)",1887-1961
137993,"Delipari, Michele",
138436,"Demantius, Christoph",1567-1643
622371,"Dentice, Fabrizio",active 16th century
139134,"Dentice, Scipione",
139377,"Denza, Luigi",
139782,"Dering, Richard",approximately 1580-1630
139833,Derosoy,
140399,"Desquesnes, Jean",
141666,"Diamond, David",1915-2005
142774,"Dick, Cotsford",1846-1911
142976,"Dickinson, Clarence",
143120,"Dicks, Ernest A. (Ernest Alfred)",1865-1948
143464,"Diemer, Emma Lou",
144021,"Dilsner, Laurence",
144293,"Distin, Theodore, the Elder",
144732,"Dixon, Harriett Claiborne",
144783,"Dixon, Thomas",
146317,"Donato, Baldassare",-1603
1038965,"Donceanu, Felicia",1931-
924610,"Donjon, Johannes",
954068,"Dorati, Antal",
148056,"Dorati, Niccolo",
149077,"Dowland, John",1563?-1626
149391,"Dragoni, Giovanni Andrea",
150297,"Drogho, Marcello",
153068,"Du Plessis, Hubert Lawrence",
954850,"Dumitrescu, Gheorghe",
152086,"Duncombe, William Duncombe Van der Horst",
658132,"Dunn, James Philip",1884-1936
153122,"Dupont, Charles",
153806,"Durrant, Frederick Thomas",
155807,"Dyson, George",1883-1964
156128,"East, Michael",approximately 1580-1648
850942,"Eben, Petr",
158104,"Edwards, Richard",
158096,"Edwards, Richard",1523?-1566
158228,"Effinger, Cecil",1914-1990
159108,"Einstein, Alfred",1880-1952
159282,"Eitner, Robert",
162056,"Emanuel, Louis",
844528,Englische Madrigale,
622332,English madrigals,
164618,"Essenga, Salvadore",
165360,"Evans, D. Pughe (David Pughe)",1866-1897
167233,"Faignient, Noé",
900062,"Faignient, Noé",active 1560-1600
167702,"Fallamero, Gabriele",active 1584
167815,"Fane, John, Earl of Westmorland",
957669,"Farkas, Ferenc",1905-2000
957698,"Farmer, John",active 1591-1601
168869,"Farnaby, Giles",approximately 1565-1640
169354,"Fattorin, of Reggio",
169762,"Fauré, Gabriel",1845-1924
170727,"Faya, Aurelio della",
171080,"Feliciani, Andrea",
171086,"Felis, Stefano",approximately 1550-approximately 1603
171159,"Fellowes, Edmund Horace",1870-1951
171620,"Ferrabosco, Alfonso",1543-1588
171632,"Ferrabosco, Alfonso",approximately 1575-1628
882821,"Ferrabosco, Domenico Maria",1513-1574
171875,"Ferrari, Giovanni",
622343,"Ferrari, Girolamo",1599-
172139,"Ferretti, Giovanni",approximately 1540-
1033336,"Festa, Costanzo",-1545
1027423,"Festa, Sebastiano",approximately 1495-1524
172716,"Fiamme, libro 2",
887644,"Fiesco, Giulio",approximately 1519-approximately 1586
